scalerS16b IPM2C21A IPM2C24A 
19263 7498 21.0639 19.9895
19263 7498 20.5686 19.5602
18282 7179 21.9531 20.8707
18565 7320 20.9261 19.8632
18721 7320 21.4097 20.387
18926 7404 21.4097 20.3315
18448 7245 21.7165 20.6468
18639 7323 21.1159 20.0861
18465 7257 21.4409 20.2021
18470 7257 21.0717 20.0131
18317 7257 21.151 20.198
18116 7144 21.151 20.1467
18461 7260 20.8637 19.9207
18912 7388 20.9521 19.9957
18043 7118 21.6736 20.6109
17909 7066 21.1263 20.0953
18216 7163 20.4841 19.4986
18517 7257 20.852 19.8293
17259 6890 21.0704 19.9916
18399 7235 20.1409 19.1967
17372 6899 20.8507 19.6126
17492 6899 20.3385 19.3066
17502 6899 20.0889 19.1443
16504 6590 19.9888 19.0108
17327 6860 19.0502 18.257
17581 6951 19.1698 18.257
17986 7098 20.072 19.1207
17450 6904 20.2124 19.3559
17679 6991 19.9238 18.8989
17485 6930 20.3203 19.3867
18313 7213 20.0291 19.0457
18313 7213 20.2371 19.2511
17627 7034 20.7506 19.7297
18003 7086 20.2306 19.2552
16871 6736 20.3216 19.2552
16574 6642 18.8994 18.0033
17626 6959 19.4584 18.5291
18081 7113 20.3502 19.3887
18954 7429 20.7727 19.7923
19770 7682 22.7279 21.6296
18917 7411 22.1468 21.0812
19602 7629 21.6541 20.5831
18975 7400 22.5706 21.4622
18545 7304 21.6515 20.5708
18621 7304 21.2381 20.2329
18941 7413 21.2992 20.2329
19552 7642 21.866 20.767
18760 7355 22.3301 21.2188
19384 7588 21.4422 20.3777
19556 7650 22.2755 21.1952
19061 7452 22.4978 21.3852
18445 7273 21.8491 20.7659
18930 7433 21.1926 20.1898
19814 7719 21.4058 20.3942
19186 7502 22.7149 21.6101
19988 7778 22.1052 20.958
19983 7778 22.906 21.7375
18854 7395 22.906 21.8166
18512 7290 21.5137 21.8166
19313 7511 21.7607 20.5698
38786 13998 22.2508 21.0134
42860 15396 22.2508 21.0134
42860 15396 39.3081 58.806
42461 15396 72.852 58.806
41389 15057 48.321 45.7991
40028 14598 48.321 44.0455
40254 14716 46.6667 44.3228
39806 14543 47.086 44.7721
36669 13520 47.086 40.5716
40316 14749 45.8835 43.3368
39953 14615 45.8835 44.2663
39399 14450 45.604 43.4498
36260 13394 44.1805 42.1121
38571 14144 44.1805 42.1121
2832 2132 19.695 40.4766
424 1419 19.695 24.3322
414 1419 0 0
414 1419 0 0
409 1419 0 0
405 1419 0 0
403 1419 0 0
402 1419 0 0
401 1419 0 0
401 1419 0 0
397 1419 0 0
397 1419 0 0
392 1419 0 0
394 1419 0 0
394 1429 0 0
392 1420 0 0
392 1409 0 0
398 1418 0 0
396 1418 0 0
396 1418 0 0
395 1426 0 0
393 1418 0 0
394 1418 0 0
396 1418 0 0
398 1418 0 0
394 1418 0 0
393 1418 0 0
394 1418 0 0
398 1418 0 0
398 1418 0 0
391 1430 0 0
393 1420 0 0
392 1420 0 0
393 1420 0 0
393 1420 0 0
390 1420 0 0
388 1412 0 0
386 1434 0 0
388 1434 0 0
393 1423 0 0
392 1423 0 0
938 1599 0 0
944 1585 0 0
10074 4281 0.735865 0.749145
15632 5912 1.34141 1.40945
16054 6133 3.9 6.162
15582 6027 7.8 15.405
15944 6149 19.5 25.9276
15657 6113 26.5921 24.7928
15793 6159 25.7023 21.5747
15793 6159 18.0284 17.1586
15691 6159 18.0284 17.1586
15318 6064 17.6865 16.8659
15331 6064 17.2861 16.5398
40240 14075 19.0099 17.3948
47076 127 54.0969 52.1331
45958 16305 96.369 51.7557
36412 13733 78.7345 49.0932
36502 13262 41.4895 40.1429
35681 13029 42.3085 39.9708
34376 12611 40.8135 38.9336
33844 12441 39.65 37.6601
35282 12910 39.923 37.7474
33949 12483 40.898 38.6665
35020 12874 39.4095 37.126
35162 12874 41.0085 38.7975
34415 12681 40.716 38.2763
35445 13028 39.676 37.3725
37910 13855 41.2165 38.9284
35863 13216 43.4265 41.5755
34369 12704 41.7495 39.5498
35931 13227 39.858 37.7525
35609 13124 41.9315 39.6756
35947 13250 41.392 39.1364
36818 13545 41.522 39.2263
35725 13183 43.1145 40.8078
36884 13556 41.5545 39.4034
36381 13405 43.1665 40.8541
35102 12978 42.094 39.7244
33609 12478 41.873 39.5857
35556 13112 39.078 37.0465
36556 13475 40.235 38.1274
36556 13475 42.3735 40.1018
36731 13559 42.12 39.9939
35620 13212 42.796 40.2019
36042 13302 41.2555 38.777
35175 13011 41.457 39.2211
34569 12810 40.3065 38.1839
36022 13304 41.3985 38.6588
34766 12893 41.3985 38.6588
36237 13362 40.9305 38.7128
36844 13593 42.2045 39.9298
35662 13169 42.2045 40.6076
36945 13647 41.561 40.6076
36673 13534 43.212 40.8746
36410 13450 42.172 39.8835
34361 12721 42.3085 40.0812
34932 12951 39.598 40.0812
35724 13224 41.288 39.1313
34637 12874 41.288 39.1313
34893 12945 41.158 39.0696
34820 12945 41.158 39.0696
35279 13038 40.5405 37.9887
35954 13302 40.5405 38.9978
36891 13639 41.015 38.9978
36891 13639 41.9055 39.5729
34356 12745 42.8415 38.7667
34005 12650 39.3575 37.6883
35696 13206 39.3575 37.6883
35742 13206 39.4615 37.316
35328 13093 41.5155 39.4291
36503 13558 41.5155 39.4291
36503 13558 41.093 40.1814
36304 13430 42.0485 40.1814
36742 13572 42.224 40.4022
35648 13221 42.77 40.4022
36091 13358 41.8405 39.5883
35912 13266 41.405 39.3803
35579 13149 41.977 39.8681
33868 12608 41.2815 38.9901
34643 12854 39.585 37.7936
35872 13275 41.4505 37.7936
35998 13275 41.4505 40.0504
35619 13200 42.757 40.0504
36526 13481 40.7095 38.5767
36748 13581 42.094 39.8245
36003 13339 42.8415 40.5229
35950 13339 41.925 39.6088
36609 13533 41.015 38.8797
38076 14037 42.978 40.6589
41401 15162 43.5305 41.3984
44624 16259 44.5965 42.279
45790 16694 52.13 49.0906
63293 22636 51.3175 48.6105
82995 12953 54.5935 56.1178
83667 29557 92.664 82.8738
84040 29727 98.293 151.873
84083 13319 95.7775 126.506
81860 12626 99.736 94.6586
79690 11902 95.641 90.8895
81852 12620 94.341 89.6057
80325 28496 92.612 88.1371
80418 12162 95.5695 90.263
79091 28143 94.536 89.5236
79091 28143 92.3845 87.3155
78606 11627 93.184 88.2604
76927 27345 90.4865 86.0934
75589 10596 88.933 84.4399
76180 27171 88.3025 83.7005
78961 28126 88.569 83.9983
78136 11400 91.6565 86.9972
71554 9161 91.2795 86.4837
73805 26339 84.071 78.9558
80448 28589 87.347 81.9032
76506 27286 93.184 89.5236
73566 22236 89.2125 84.2756
72837 9667 86.0535 81.4206
73594 9932 85.2475 80.4244
74014 26429 85.1955 81.6876
70863 8984 86.5865 81.626
72684 26008 82.498 78.6374
71115 21361 82.498 79.8082
70843 25398 83.655 78.2985
76037 10798 82.6735 78.2985
75249 26833 87.971 83.1151
74749 26833 88.1595 83.4951
76868 11070 86.879 82.2524
75618 10580 88.621 84.1729
75918 27073 90.012 85.241
76009 10726 86.4955 82.5811
75984 27165 89.2125 84.4399
75227 26836 88.4975 83.8648
70691 25363 89.0955 84.3783
72268 25830 83.941 79.6233
73114 9788 81.7115 77.4563
73114 9788 86.021 81.3795
72630 25961 83.8175 79.5309
74643 10263 86.3395 81.9135
74467 10263 88.2895 83.7313
71735 9358 83.4925 79.5822
75095 26866 86.424 81.9238
75758 27038 87.1065 82.6016
73771 26410 88.14 83.5875
69408 24878 84.2205 79.7876
72615 9597 83.2715 79.0174
70569 8957 82.589 78.6682
75870 10702 84.461 79.7568
74518 26627 87.3535 83.0638
72817 9723 86.5475 82.16
73073 9723 85.319 80.7325
69893 25108 84.448 80.26
73552 26352 81.9065 77.405
74813 10346 85.982 81.5233
74156 10100 87.0935 82.5297
71588 9230 86.567 82.5811
72387 25949 83.538 79.2228
72197 25949 84.396 79.9314
70771 9012 83.655 79.4384
70915 9012 83.2065 78.8633
67858 7985 83.2065 79.2741
68611 24584 79.027 74.9094
67160 24148 79.95 75.7618
72314 9490 77.584 73.4921
69820 25058 83.668 79.1303
72771 26047 83.668 77.4563
73749 9973 81.757 78.9147
73749 9973 86.06 81.6465
71409 25591 84.383 80.0136
72389 25939 83.733 80.0136
68463 24538 83.733 75.8234
70389 25300 81.5165 77.1277
70628 25300 82.264 77.9288
72341 25906 82.264 77.9288
71662 9302 84.539 79.7568
66689 23964 84.539 79.7568
70265 8782 78.845 74.8067
71469 9201 82.7905 74.8067
73499 30375 82.7905 78.5141
71152 25506 85.2605 79.9006
70484 25307 85.2605 79.9006
72770 26018 82.8945 78.9249
72538 26018 82.485 78.9249
73943 26502 85.5465 80.2806
71864 21639 85.5465 81.0919
70569 25270 87.0805 82.694
73351 9860 81.822 77.5693
74422 10213 86.4305 81.8827
73438 9868 86.4305 81.6568
70980 9037 86.1315 81.6568
68280 24524 86.1315 81.3589
65534 7224 82.9855 78.6168
71516 25589 78.7215 75.238
69168 24842 79.378 73.2456
68826 8304 82.4655 78.812
70007 8787 80.8275 77.0969
69718 25044 80.8275 76.4704
69718 25044 81.991 77.1174
69071 24790 81.887 77.6926
70459 25177 80.5285 76.152
70302 25177 82.1925 78.0931
72222 25844 81.6985 77.4461
75012 26769 84.344 79.9314
73469 26262 86.723 81.8416
76016 27140 86.1055 82.0368
71457 9227 87.2885 82.4373
74427 10241 85.4685 79.8184
75517 26981 86.19 81.3795
74110 10124 87.4445 82.7351
70360 8857 87.23 83.1973
71000 25471 84.2855 79.7055
73521 26290 81.809 77.6412
75998 10793 84.11 79.7568
71213 9123 88.257 83.5978
69381 24879 86.216 81.6876
72455 25923 79.001 74.8786
71104 9111 84.7405 80.3319
70150 25137 83.0505 78.545
70192 8779 82.9205 78.6168
70742 25355 82.3615 78.0725
67449 7839 82.3615 78.0725
71589 9266 80.704 76.4191
94509 555 79.9695 76.4191
99199 34806 90.5255 82.1189
104246 36426 116.122 110.331
109141 21584 117.734 111.738
107725 53803 124.963 118.618
106374 4144 126.262 119.83
107147 4430 126.262 119.748
107147 4430 123.422 116.903
104094 3371 124.884 117.787
107816 53835 123.63 116.38
107883 53835 126.249 119.512
102434 19259 124.455 118.259
104854 20080 122.245 114.243
102249 52024 122.311 116.349
101730 35515 119.333 112.949
98183 34361 118.463 112.693
104829 36510 116.168 108.718
103022 31811 121.602 115.322
109598 38105 120.055 113.319
107443 4489 127.874 120.621
107797 53899 126.1 118.618
109288 54388 126.1 119.491
107323 53709 126.965 120.58
107425 53709 125.151 118.69
104665 20027 124.93 118.69
110337 38662 122.506 115.876
111065 38662 128.986 121.946
109636 21577 128.908 122.49
105683 36810 130.553 124.873
106821 53584 122.928 116.544
108571 21294 123.474 117.561
108571 21294 125.125 118.762
108390 4864 129.421 122.963
