scalerS16b IPM2C21A IPM2C24A 
146224 50293 168.623 160.787
136558 47157 163.332 156.248
142165 32621 163.332 153.988
144915 49964 164.944 158.877
145975 49964 168.415 161.506
145631 33708 170.56 162.41
141226 32701 170.482 162.646
145303 66417 167.102 155.334
145250 66417 167.7 155.334
146141 83010 169.091 162.718
147219 17829 170.547 162.718
147222 67024 171.717 164.002
149023 34873 173.225 164.002
147464 67251 170.755 163.652
138001 14783 173.901 161.157
139537 48033 164.788 153.68
134349 62769 164.489 155.467
133194 13736 159.185 149.223
132705 13024 156.637 149.223
133205 62317 154.83 146.204
136157 46960 153.465 146.204
132288 12966 158.951 151.739
132969 29514 157.664 146.337
133730 29845 155.272 146.337
140123 3211 153.92 148.227
140086 31928 157.664 148.227
136634 47573 167.518 153.845
136634 47573 160.849 152.325
141682 48770 160.459 152.325
143236 49367 165.477 156.659
142311 65471 167.336 159.226
142178 48948 165.126 158.641
146913 30214 166.27 158.641
144634 82516 173.641 158.733
146289 33953 167.908 164.484
138700 31406 171.431 157.891
143698 16758 161.2 157.891
141906 48813 167.05 159.904
144604 49773 165.386 159.904
149064 67668 168.688 157.46
147229 34281 172.458 161.218
146711 50501 172.328 163.016
149061 51308 171.106 163.016
151882 84999 173.862 162.543
148821 14340 176.787 166.436
140659 64912 175.825 171.15
143861 16884 165.737 160.417
147423 30191 164.164 153.916
148015 38627 172.536 162.79
143681 37232 172.718 163.344
138659 31476 169.741 164.731
142605 49145 162.643 157.49
133634 50354 165.646 154.892
139376 31737 162.305 157.747
147678 18030 156.689 147.508
145682 33761 172.237 156.792
138903 64389 171.171 163.303
141124 65022 167.531 162.143
141124 65022 161.538 153.814
145946 1053 169.234 157.275
150673 10860 172.861 161.948
148316 18238 173.862 167.288
146909 34174 173.212 164.525
150093 35223 172.133 163.581
149669 84170 174.07 166.528
143862 65938 175.162 165.193
140540 48490 162.435 161.66
138103 63902 166.985 155.436
135715 30463 166.985 156.073
138805 15107 162.435 149.798
142355 16265 162.227 155.549
143884 33149 164.463 157.675
153032 3448 174.629 154.974
155587 53554 174.629 170.256
150897 84658 179.296 172.875
148830 67588 176.098 168.972
148935 51271 176.098 166.045
151181 19265 173.771 165.789
166154 40701 172.601 166.528
178833 44874 179.439 179.355
182523 46279 196.43 194.165
184289 63129 210.691 200.953
175647 60201 213.291 206.417
180890 61953 213.577 194.329
166742 57350 210.574 201.282
173638 30911 210.574 192.593
178299 44812 195.091 191.207
169810 41902 202.358 196.486
169810 41902 207.311 190.632
173325 10267 198.77 192.532
174947 60059 202.358 195.253
164598 40124 205.257 187.15
168392 8737 193.869 184.881
173075 10372 200.408 188.424
171119 75089 200.408 190.611
173139 59325 199.888 192.429
170122 91151 201.786 191.874
171991 42704 200.135 187.345
166428 89870 197.405 192.953
173524 43190 198.952 183.925
177328 44492 197.639 194.041
165970 36529 206.323 195.952
177564 60972 198.328 184.141
176522 60576 199.303 197.235
177596 11779 207.688 196.332
173459 75988 207.688 197.626
172917 59397 205.764 192.367
172825 26646 201.045 192.224
171390 42399 202.046 192.932
175077 76439 198.068 190.94
173552 92460 203.697 194
172470 59302 203.151 192.819
168328 57663 201.409 190.981
179236 77 199.173 190.981
168451 74221 204.321 200.737
163348 72476 207.532 189.471
163693 23517 193.401 182.672
157927 54307 187.486 182.169
162513 88522 188.032 182.169
166263 40659 186.667 179.263
166263 40659 189.488 179.263
157717 54226 193.479 176.408
159812 38383 183.027 176.408
165638 56912 188.396 174.035
164662 93842 190.268 181.44
164526 44474 192.569 181.44
161082 2140 190.619 183.196
152935 85470 187.655 170.8
165214 73210 178.529 170.8
167223 8316 193.063 179.479
161670 72046 194.571 180.67
164115 72792 188.591 180.67
169154 41656 193.089 187.109
172031 26220 196.599 187.109
173294 75881 200.343 192.901
169581 41901 202.254 192.901
173691 59543 197.782 190.58
176843 77072 201.578 190.58
162808 72336 205.946 192.532
168799 37511 191.62 192.46
166429 89956 193.778 182.056
168925 90797 198.822 191.412
163946 7120 195.793 182.18
163946 7120 191.698 187.941
160735 38866 190.19 182.981
163898 56305 188.253 182.744
166829 90092 189.787 179.612
162002 72038 193.336 183.073
170138 91127 189.605 183.771
168380 74648 194.844 183.504
170186 74648 199.173 189.019
170186 74648 200.239 188.732
160775 6274 190.463 188.732
167361 8209 189.956 177.917
167456 90215 196.742 186.318
160653 88057 195.949 184.901
162700 55970 185.185 179.591
169989 57901 192.998 179.53
171962 58892 203.58 189.286
175712 43854 199.745 194.586
166639 40951 207.311 194.586
172922 92068 193.011 190.693
169554 41842 202.449 189.677
162398 39341 196.924 189.677
166264 36770 187.785 183.381
169484 21351 195.247 181.563
164313 60603 196.781 188.249
170480 74958 191.815 184.634
164470 7439 191.815 186.852
169514 9028 195.598 183.165
174184 63949 199.849 188.68
166736 57279 203.84 195.109
173093 59409 195.091 181.758
168196 41368 195.091 189.307
170676 42276 196.144 190.149
165639 7804 199.251 189.307
168800 53976 193.583 186.031
167416 41208 199.095 186.031
172107 42817 195.377 189.523
169411 25566 200.642 186
165883 89819 200.642 190.488
53603 19090 193.479 188.66
53603 19090 193.479 178.739
516 1450 0 18.2292
513 1450 0 0
501 1450 0 0
497 1450 0 0
489 1450 0 0
489 1450 0 0
486 1450 0 0
487 1436 0 0
484 1450 0 0
482 1450 0 0
480 1450 0 0
