scalerS16b IPM2C21A IPM2C24A 
18681 17907 175.188 167.011
18222 49538 168.805 161.824
18170 16537 164.788 156.885
17954 44626 166.608 158.774
17959 48727 163.696 155.539
18686 34381 163.982 156.227
18382 739 173.745 163.878
18104 65530 168.402 159.534
18418 33574 164.736 160.068
18895 34870 167.388 160.007
17878 27996 173.342 163.683
18783 14158 163.8 156.772
18541 66697 170.196 163.344
18156 49275 169.286 162.81
18462 33726 165.971 157.963
18419 82703 168.649 161.455
18140 49238 172.016 163.601
18605 34169 164.892 156.7
19212 19503 168.467 159.873
19004 51649 174.733 166.158
19251 68613 174.356 164.248
19557 4002 177.333 168.356
18238 33050 180.063 171.714
18624 66885 171.184 160.787
18991 35217 170.898 163.016
18800 1931 169.442 162.143
18565 66785 173.056 165.326
18181 32929 172.51 164.474
19038 51760 168.35 159.298
19038 51760 171.769 163.283
18863 22518 174.434 166.261
18764 34507 171.288 162.061
18140 49277 168.805 161.557
19141 47886 169.221 161.105
18373 33477 174.551 166.343
18289 551 165.269 157.706
19153 84759 172.146 162.317
18151 82038 170.989 164.546
18107 32738 166.933 158.877
18492 33833 165.555 157.419
18533 33833 170.482 162.4
19280 3207 169.65 161.907
18081 32617 177.125 168.212
18411 49953 164.996 157.059
18360 49953 169.442 161.249
19283 19698 167.895 160.171
19438 52811 176.761 169.332
19162 35672 178.139 169.701
19052 2661 175.656 167.144
19154 19332 175.656 167.144
19006 51619 176.254 167.925
19015 18802 175.305 166.795
18623 34169 172.939 165.039
19109 35483 171.301 163.221
23698 31843 171.301 163.221
21304 41664 218.127 207.998
21872 125253 203.112 193.199
22918 46089 198.263 190.529
22918 46089 208.104 190.529
23556 31657 208.104 201.271
23556 31657 215.722 204.209
23765 64977 220.298 204.209
23277 47308 220.298 205.554
23922 81658 217.022 205.051
22875 95064 216.476 205.051
22517 61360 212.485 199.782
23060 46472 212.485 199.782
22888 46086 210.366 199.803
23197 79661 207.831 199.803
22462 44821 213.616 198.529
23318 47225 214.149 198.529
22302 60706 214.149 198.694
22704 78204 206.973 195.459
22864 29580 206.973 199.484
23441 63899 215.02 204.455
22917 13248 214.708 204.65
21828 92186 210.119 200.173
22003 59926 201.318 191.412
21982 59926 201.318 194.247
22503 8123 203.983 194.247
22224 60575 200.304 191.114
21646 59025 209.287 198.108
22340 60857 204.529 194.052
21437 58384 199.563 189.481
21882 59658 205.049 195.88
21879 59658 196.937 187.756
22055 60249 202.124 192.429
21433 42066 201.409 191.618
22218 44164 202.462 192.696
22218 44164 197.821 188.424
22605 69928 204.711 195.007
22605 69928 214.435 204.291
21434 74820 208.481 198.807
22054 60049 197.301 187.664
21502 74980 203.567 194.021
20339 71765 198.263 188.547
21323 41556 187.122 178.297
20377 55404 196.235 186.596
21285 41534 186.459 177.805
21341 57981 195.728 186.37
20987 40647 194.662 185.199
21576 42311 191.23 183.977
21209 69912 196.378 187.458
21648 42563 194.935 185.312
21902 26818 193.323 184.562
22087 39634 203.97 193.456
20521 6630 202.046 191.926
20849 40229 192.738 181.995
21329 33480 191.646 182.57
22081 72910 191.386 182.323
21918 59662 201.539 192.193
21246 41423 203.073 193.456
21998 43435 197.717 187.202
21490 74829 199.875 190.457
20897 23954 203.138 193.251
20912 89709 193.674 184.234
20437 22727 188.175 180.793
21055 40889 189.995 179.324
21188 73844 191.854 182.364
21652 42566 195.182 185.558
21150 57440 195.598 185.178
22021 88631 200.161 188.989
22021 88631 195.767 187.91
22336 60812 203.021 193.939
22393 60812 206.882 197.338
21796 75754 202.891 193.98
22070 27266 201.799 192.203
22231 44168 202.709 193.004
21769 59298 202.995 193.384
21564 42459 201.045 191.176
21826 63460 200.967 191.936
21107 41189 199.563 189.841
21453 74786 191.789 182.601
20971 40738 195.806 186.359
21243 57825 192.452 183.463
22205 44172 196.612 187.91
21673 59073 205.023 194.545
22410 44657 199.082 191.772
21566 91402 206.583 196.475
20714 23539 199.602 189.625
21971 92575 189.332 181.04
22300 44208 200.993 191.566
21957 76187 206.024 196.249
22891 62434 201.656 192.018
22343 44493 209.898 200.224
22374 60977 206.531 196.896
21438 91169 205.686 196.167
21006 24442 199.251 192.326
