scalerS16b	IPM2C21A	IPM2C24A		
825	1.3812e+07	12.7478	12.2449	
827	1.3812e+07	12.5359	12.1854	
826	1.3812e+07	12.5359	11.9697	
843	1.3812e+07	12.61	11.9697	
827	1.3812e+07	12.8843	12.2922	
832	1.3812e+07	12.6503	12.2316	
831	1.3812e+07	12.74	12.2316	
822	1.3812e+07	12.74	12.2316	
832	1.3812e+07	12.6295	12.2316	
819	1.3812e+07	12.6828	11.9779	
837	1.3812e+07	12.5632	12.2706	
826	1.3812e+07	12.6971	12.0262	
826	1.3812e+07	12.6971	12.2377	
824	1.3812e+07	12.5242	12.0549	
828	1.3812e+07	12.7023	12.1073	
829	1.3812e+07	12.7023	12.1628	
830	1.3812e+07	12.6009	12.1052	
819	1.3812e+07	12.6009	12.1925	
819	1.3812e+07	12.3994	11.9307	
828	1.3812e+07	12.5502	11.9307	
810	1.3812e+07	12.5502	12.0734	
816	1.3812e+07	12.4072	11.9153	
822	1.3812e+07	12.6126	12.0138	
812	1.3812e+07	12.4566	12.0837	
808	1.3812e+07	12.4566	11.8998	
830	1.3812e+07	12.5255	11.8998	
831	1.3812e+07	12.7985	12.1628	
823	1.3812e+07	12.7296	12.2891	
812	1.3812e+07	12.6503	12.1874	
817	1.3812e+07	12.4852	12.059	
815	1.3812e+07	12.5632	11.9666	
823	1.3812e+07	12.4371	11.9666	
822	1.3812e+07	12.558	12.0303	
837	1.3812e+07	12.558	11.9337	
824	1.3812e+07	12.7725	12.1864	
828	1.3812e+07	12.5788	12.1864	
831	1.3812e+07	12.6776	12.1278	
825	1.3812e+07	12.6776	12.1278	
818	1.3812e+07	12.6776	12.1278	
819	1.3812e+07	12.4709	11.9748	
821	1.3812e+07	12.5606	12.0898	
840	1.3812e+07	12.454	11.9789	
832	1.3812e+07	12.7764	12.1094	
832	1.3812e+07	12.6204	12.2316	
832	1.3812e+07	12.6828	12.1032	
821	1.3812e+07	12.6828	12.1905	
819	1.3812e+07	12.5242	12.0231	
826	1.3812e+07	12.6581	12.0231	
832	1.3812e+07	12.7673	12.2038	
830	1.3812e+07	12.701	12.2038	
834	1.3812e+07	12.701	12.2038	
833	1.3812e+07	12.7803	12.2038	
846	1.3812e+07	12.8661	12.2716	
832	1.3812e+07	12.8661	12.3979	
830	1.3812e+07	12.7374	12.2367	
832	1.3812e+07	12.6061	12.1617	
841	1.3812e+07	12.8947	12.1617	
833	1.3812e+07	12.844	12.4113	
828	1.3812e+07	12.7244	12.2881	
820	1.3812e+07	12.6594	12.1484	
841	1.3812e+07	12.6594	12.0981	
838	1.3812e+07	12.8674	12.286	
834	1.3812e+07	12.8674	12.3497	
818	1.3812e+07	12.7114	12.2942	
824	1.3812e+07	12.5268	12.1248	
824	1.3812e+07	12.6789	12.0744	
810	1.39312e+07	12.6789	12.1535	
819	1.38147e+07	12.5099	12.1535	
834	1.38147e+07	12.5684	11.9902	
840	1.38147e+07	12.7478	12.1289	
832	1.38147e+07	12.8765	12.3712	
835	1.38147e+07	12.8102	12.2716	
