scalerS16b	IPM2C21A	IPM2C24A		
78	1.38049e+07	0	0	
78	1.38049e+07	0	0	
77	1.38049e+07	0	0	
81	1.38049e+07	0	0	
78	1.38049e+07	0	0	
80	1.38049e+07	0	0	
76	1.38049e+07	0	0	
78	1.38049e+07	0	0	
76	1.38049e+07	0	0	
82	1.38049e+07	0	0	
81	1.38049e+07	0	0	
78	1.38049e+07	0	0	
81	1.38049e+07	0	0	
84	1.38049e+07	0	0	
87	1.38049e+07	0	0	
834	1.38049e+07	0	0	
12013	1.38049e+07	0	0	
12005	1.38049e+07	0.78	0	
12013	1.38049e+07	1.95	1.5405	
11882	1.38049e+07	3.9	3.081	
11830	1.38049e+07	7.8	6.162	
11830	1.38049e+07	18.2377	15.405	
11813	1.38049e+07	20.958	19.8221	
11421	1.38049e+07	20.7467	20.044	
11610	1.38049e+07	13.052	12.5428	
18017	1.38049e+07	14.8694	12.5428	
18363	1.38049e+07	21.0587	17.9283	
18291	1.38049e+07	20.9846	20.1046	
37576	1.38049e+07	23.7809	19.9423	
38506	1.38049e+07	43.8737	33.3446	
38494	1.38049e+07	66.118	63.4891	
38336	1.38049e+07	44.499	68.0387	
38029	1.38049e+07	44.2812	42.8054	
46093	1.38049e+07	44.3853	42.2302	
45772	1.38049e+07	52.5298	46.4153	
45545	1.38049e+07	52.9067	51.2781	
56038	1.38049e+07	52.6435	50.2357	
55934	1.38049e+07	63.0793	55.0472	
55712	1.38049e+07	64.8473	62.267	
54955	1.38049e+07	64.5872	62.4467	
56408	1.38049e+07	63.3652	61.2914	
56465	1.38049e+07	65.026	61.7022	
56731	1.38049e+07	65.1495	62.724	
55939	1.38049e+07	65.598	62.6727	
56001	1.38049e+07	65.039	62.9962	
55851	1.38049e+07	64.3955	61.8716	
54922	1.38049e+07	64.7335	62.38	
54974	1.38049e+07	63.9242	61.8562	
54742	1.38049e+07	63.5895	61.1424	
54480	1.38049e+07	63.1312	60.9987	
55260	1.38049e+07	63.076	60.896	
54755	1.38049e+07	63.3295	60.4184	
54755	1.38049e+07	63.453	61.3478	
55280	1.38049e+07	63.6545	60.7214	
54546	1.38049e+07	63.3945	61.4043	
54936	1.38049e+07	63.3392	60.3619	
55436	1.38049e+07	63.5245	61.2657	
55391	1.38049e+07	64.0218	61.2657	
54982	1.38049e+07	63.8592	61.6765	
54923	1.38049e+07	63.6805	60.8446	
54319	1.38049e+07	63.0337	61.5019	
54433	1.38049e+07	63.0337	60.0487	
54819	1.38049e+07	62.803	60.8446	
54460	1.38049e+07	63.2547	60.3773	
54408	1.38049e+07	62.946	60.8138	
55124	1.38049e+07	62.946	60.4544	
54000	1.38049e+07	63.6187	60.7676	
53831	1.38049e+07	62.5495	60.8497	
54197	1.38049e+07	62.14	59.8176	
53798	1.38049e+07	62.7803	60.0898	
54581	1.35048e+07	62.0132	59.7457	
52856	1.38317e+07	63.0825	60.3157	
52269	1.38317e+07	61.4185	60.0692	
54134	1.38317e+07	60.4695	58.4979	
52517	1.38317e+07	62.0653	58.7136	
47489	1.38317e+07	61.958	59.8792	
47335	1.38317e+07	55.8838	57.0601	
47665	1.38317e+07	55.2305	52.8237	
48023	1.38317e+07	54.6097	52.5208	
47783	1.38317e+07	55.1265	52.9778	
45425	1.38317e+07	55.835	53.2499	
45542	1.38317e+07	53.0855	53.0343	
45608	1.37008e+07	52.6987	50.3743	
45608	1.37008e+07	52.8677	50.7338	
46482	1.38215e+07	53.0692	50.6414	
45628	1.38215e+07	53.404	51.5554	
45932	1.38215e+07	52.3088	51.0008	
45675	1.38215e+07	53.3065	50.4873	
46174	1.38215e+07	52.9295	51.0778	
44845	1.38215e+07	52.9295	51.0778	
45164	1.38215e+07	51.8602	50.1741	
45612	1.38215e+07	52.0812	49.8814	
44797	1.38215e+07	52.689	50.513	
45051	1.38215e+07	51.8765	50.1844	
45053	1.38215e+07	51.961	50.1844	
45635	1.38215e+07	51.961	49.5887	
46093	1.38215e+07	52.7962	50.6465	
45148	1.38215e+07	53.1245	50.8724	
44798	1.38215e+07	52.3022	50.8724	
44783	1.38215e+07	51.8148	49.9379	
45746	1.38215e+07	51.597	49.5476	
45091	1.38215e+07	52.6175	50.133	
45346	1.38215e+07	52.494	50.9033	
45567	1.38215e+07	52.3412	50.1946	
45336	1.38215e+07	52.5785	50.3435	
24729	1.38215e+07	52.429	50.5541	
80	1.38215e+07	45.2887	50.2614	
79	1.38215e+07	1.28375	17.9828	
83	1.38215e+07	0	0	
78	1.38215e+07	0	0	
77	1.38215e+07	0	0	
81	1.38215e+07	0	0	
75	1.38215e+07	0	0	
75	1.38215e+07	0	0	
78	1.38215e+07	0	0	
